arredamos	ar|re|da$mos|
envoltos	en|vol$tos|
galopes	ga|lo$pes|
refundariam	re|fun|da|ri|am$
modular-se-ia	mo|du|lar|se|i$a|
lisonjeai	li|son|je|ai$
premeditáveis	pre|me|di|tá$veis|
Borguinhões	bor|gui|nhões$
uivariam	u|i|va|ri|am$
palatizaria	pa|la|ti|za|ri$a|
ensaísmo	en|sa|ís$mo|
carpisses	car|pis$ses|
esmiucei-vos	es|mi|u|cei$vos|
almofade	al|mo|fa$de|
icnógrafas	ic|nó$gra|fas|
mandatáveis	man|da|tá$veis|
fiarei	fi|a|rei$
assaltar-vos	as|sal|tar$vos|
desconversar-lho	des|con|ver|sar|lho$
embarravam	em|bar|ra|vam$
china	chi$na|
aramai	a|ra|mai$
neozelandeses	ne|o|ze|lan|de$ses|
indignariam	in|dig|na|ri|am$
reiteraríeis	rei|te|ra|rí$eis|
comutardes	co|mu|tar$des|
descontar-te-íamos	des|con|tar|te|í$a|mos|
salvaram	sal|va$ram|
combinou	com|bi|nou$
brecáveis	bre|cá$veis|
labores	la|bo$res|
marasmas	ma|ras$mas|
revingastes	re|vin|gas$tes|
censurais	cen|su|rais$
solidar-nos-á	so|li|dar|nos|á$
abafei	a|ba|fei$
desintoxicara	de|sin|to|xi|ca$ra|
aquartilhaste	a|quar|ti|lhas$te|
encolher-nos-eis	en|co|lher|nos|eis$
putrefizermos	pu|tre|fi|zer$mos|
ecoam	e|co|am$
conjuga	con|ju$ga|
sangrávamos	san|grá$va|mos|
manqueja	man|que$ja|
ilibeis	i|li|beis$
fécula	fé$cu|la|
espionareis	es|pi|o|na|reis$
fundamentalistas	fun|da|men|ta|lis$tas|
desapartes	de|sa|par$tes|
couraçar-nos	cou|ra|çar$nos|
rearborizou	re|ar|bo|ri|zou$
venci	ven|ci$
engendravas	en|gen|dra$vas|
granjeáreis	gran|je|á$reis|
cavacar	ca|va|car$
feirávamos	fei|rá$va|mos|
praguejáveis	pra|gue|já$veis|
judiaríamos	ju|di|a|rí$a|mos|
aterrorizarem	a|ter|ro|ri|za$rem|
encarcere	en|car|ce$re|
restituíamos	res|ti|tu|í$a|mos|
antedardes	an|te|dar$des|
Gertrudes	ger|tru$des|
consignavam	con|sig|na|vam$
tarraxar	tar|ra|xar$
desproporcionemos	des|pro|por|ci|o|ne$mos|
aromamos	a|ro|ma$mos|
agrafares	a|gra|fa$res|
pesquisaria	pes|qui|sa|ri$a|
rezaras	re|za$ras|
coexisti	co|e|xis|ti$
adquirir-lhes-á	ad|qui|rir|lhes|á$
relinchássemos	re|lin|chás$se|mos|
desdobradas	des|do|bra$das|
permanecerei	per|ma|ne|ce|rei$
chapinar-lhes-íamos	cha|pi|nar|lhes|í$a|mos|
pertencíeis	per|ten|cí$eis|
empolgámos	em|pol|gá$mos|
sobrealimentavas	so|bre|a|li|men|ta$vas|
apreciativos	a|pre|ci|a|ti$vos|
crucífero	cru|cí$fe|ro|
cheias	chei$as|
sondagens	son|da$gens|
partilhais	par|ti|lhais$
indentam	in|den|tam$
escoriar-nos-á	es|co|ri|ar|nos|á$
estatelaria	es|ta|te|la|ri$a|
consentia	con|sen|ti$a|
bradam	bra|dam$
palmilharmos	pal|mi|lhar$mos|
tutorámos	tu|to|rá$mos|
sacramentávamos	sa|cra|men|tá$va|mos|
besuntamos	be|sun|ta$mos|
terroríficos	ter|ro|rí$fi|cos|
eternavam	e|ter|na|vam$
multicolurais	mul|ti|co|lu|rais$
espartilharem	es|par|ti|lha$rem|
repatriaras	re|pa|tri|a$ras|
pulsem	pul$sem|
internaria	in|ter|na|ri$a|
concernir-se-ia	con|cer|nir|se|i$a|
boletineiro	bo|le|ti|nei$ro|
combalir-nos	com|ba|lir$nos|
descontextualizada	des|con|tex|tu|a|li|za$da|
substanciasse	subs|tan|ci|as$se|
tontearíeis	ton|te|a|rí$eis|
mudáveis	mu|dá$veis|
designa	de|sig$na|
despejardes	des|pe|jar$des|
vencêssemos	ven|cês$se|mos|
desenferrujáramos	de|sen|fer|ru|já$ra|mos|
incomunicação	in|co|mu|ni|ca|ção$
desfocamos	des|fo|ca$mos|
sossegaríeis	sos|se|ga|rí$eis|
quadruplássemos	qua|dru|plás$se|mos|
superexcitei	su|pe|rex|ci|tei$
congratules	con|gra|tu$les|
desenfronhara	de|sen|fro|nha$ra|
entesourá-las	en|te|sou|rá$las|
encerrem	en|cer$rem|
desfraldaria	des|fral|da|ri$a|
adoniso	a|do|ni$so|
alvejaríamos	al|ve|ja|rí$a|mos|
fecundou	fe|cun|dou$
sinfonizastes	sin|fo|ni|zas$tes|
avessa	a|ves$sa|
desabrochardes	de|sa|bro|char$des|
retinias	re|ti|ni$as|
desajeitámos	de|sa|jei|tá$mos|
coaremos	co|a|re$mos|
enovelarem	e|no|ve|la$rem|
assomais	as|so|mais$
tufaram	tu|fa$ram|
catalisariam	ca|ta|li|sa|ri|am$
embebias	em|be|bi$as|
desnudo	des|nu$do|
divorciar-nos-iam	di|vor|ci|ar|nos|i|am$
ultimaríamos	ul|ti|ma|rí$a|mos|
agarrar-lhe	a|gar|rar$lhe|
apintalharmos	a|pin|ta|lhar$mos|
baldas	bal$das|
amulheraria	a|mu|lhe|ra|ri$a|
ganchar-nos-á	gan|char|nos|á$
casquilhou	cas|qui|lhou$
empapar-lhes-íamos	em|pa|par|lhes|í$a|mos|
depreciarás	de|pre|ci|a|rás$
proletarizar-me-iam	pro|le|ta|ri|zar|me|i|am$
doiram	doi|ram$
destemperarmos	des|tem|pe|rar$mos|
galegas	ga|le$gas|
terraplanastes	ter|ra|pla|nas$tes|
repenicar-me-iam	re|pe|ni|car|me|i|am$
sumariariam	su|ma|ri|a|ri|am$
meadas	me|a$das|
tinem	ti$nem|
sacudir-nos-ia	sa|cu|dir|nos|i$a|
descendências	des|cen|dên$cias|
envelhecesses	en|ve|lhe|ces$ses|
ripostavas	ri|pos|ta$vas|
alavancáreis	a|la|van|cá$reis|
vangloriares	van|glo|ri|a$res|
escassearão	es|cas|se|a|rão$
acoronhavas	a|co|ro|nha$vas|
imperialmente	im|pe|ri|al|men$te|
mobilizar-nos-ão	mo|bi|li|zar|nos|ão$
vetarei	ve|ta|rei$
susceptibilizássemos	sus|cep|ti|bi|li|zás$se|mos|
franquiasse	fran|qui|as$se|
fonofilme	fo|no|fil$me|
predeterminas	pre|de|ter|mi$nas|
abreviado	a|bre|vi|a$do|
pesando	pe|san$do|
prezam	pre|zam$
copiaste	co|pi|as$te|
defraudadas	de|frau|da$das|
oferendassem	o|fe|ren|das$sem|
descreres	des|cre$res|
ósseos	ós$seos|
mandar-vos-íeis	man|dar|vos|í$eis|
subtraíreis	sub|tra|í$reis|
ressuscitaríamos	res|sus|ci|ta|rí$a|mos|
romantizaste	ro|man|ti|zas$te|
rememoreis	re|me|mo|reis$
aterroardes	a|ter|ro|ar$des|
doestadas	do|es|ta$das|
persas	per$sas|
radioemitires	ra|di|o|e|mi|ti$res|
atordoante	a|tor|do|an$te|
recontextualizar	re|con|tex|tu|a|li|zar$
marcadores	mar|ca|do$res|
reclinarão	re|cli|na|rão$
estatutária	es|ta|tu|tá$ria|
choramingona	cho|ra|min|go$na|
desposar	des|po|sar$
lacunário	la|cu|ná$rio|
tropeçamos	tro|pe|ça$mos|
baralhados	ba|ra|lha$dos|
desencriptarão	de|sen|crip|ta|rão$
desengrenaria	de|sen|gre|na|ri$a|
esmorecerão	es|mo|re|ce|rão$
remedir	re|me|dir$
insurgido	in|sur|gi$do|
clarejamos	cla|re|ja$mos|
lucrarias	lu|cra|ri$as|
hebraizáveis	he|brai|zá$veis|
contra-atacou	con|tra|a|ta|cou$
infamava	in|fa|ma$va|
encomendariam	en|co|men|da|ri|am$
calharemos	ca|lha|re$mos|
activáramos	ac|ti|vá$ra|mos|
escancaramento	es|can|ca|ra|men$to|
estilos	es|ti$los|
descoloriria	des|co|lo|ri|ri$a|
exerceríeis	e|xer|ce|rí$eis|
farolizaríeis	fa|ro|li|za|rí$eis|
bastar-lhe-ia	bas|tar|lhe|i$a|
primaverareis	pri|ma|ve|ra|reis$
nacionalismo	na|ci|o|na|lis$mo|
travado	tra|va$do|
denudávamos	de|nu|dá$va|mos|
pesponteáveis	pes|pon|te|á$veis|
nascidos	nas|ci$dos|
preconcebo	pre|con|ce$bo|
acolchetámos	a|col|che|tá$mos|
compensacionismos	com|pen|sa|ci|o|nis$mos|
castelhanizes	cas|te|lha|ni$zes|
desbordarás	des|bor|da|rás$
incrustaste	in|crus|tas$te|
desabaria	de|sa|ba|ri$a|
sequestro	se|ques$tro|
enaltecêreis	e|nal|te|cê$reis|
tresmalhada	tres|ma|lha$da|
nauseá-lo-ia	nau|se|á|lo|i$a|
adjuvarão	ad|ju|va|rão$
nasalizavas	na|sa|li|za$vas|
degelasses	de|ge|las$ses|
amortiçávamos	a|mor|ti|çá$va|mos|
desengrainhava	de|sen|grai|nha$va|
Mondego	mon|de$go|
retrilháreis	re|tri|lhá$reis|
reflutuarei	re|flu|tu|a|rei$
críeis	crí$eis|
crucifixações	cru|ci|fi|xa|ções$
fruirá	fru|i|rá$
mistificara	mis|ti|fi|ca$ra|
banqueteassem	ban|que|te|as$sem|
posicionam	po|si|ci|o|nam$
escapulirá	es|ca|pu|li|rá$
decepassem	de|ce|pas$sem|
serpeiam	ser|pei|am$
mobilizar-lhes-eis	mo|bi|li|zar|lhes|eis$
arianizáveis	a|ri|a|ni|zá$veis|
amestreis	a|mes|treis$
transbordámos	trans|bor|dá$mos|
enrosque	en|ros$que|
tranquilizai	tran|qui|li|zai$
Argel	ar|gel$
tetanizar-te-ás	te|ta|ni|zar|te|ás$
copiar-lhe-iam	co|pi|ar|lhe|i|am$
refregarão	re|fre|ga|rão$
licenciávamos	li|cen|ci|á$va|mos|
empanqueis	em|pan|queis$
ensombrara	en|som|bra$ra|
excretada	ex|cre|ta$da|
reconfiguro	re|con|fi|gu$ro|
sujavas	su|ja$vas|
apagados	a|pa|ga$dos|
vulgarizávamos	vul|ga|ri|zá$va|mos|
arrepanheis	ar|re|pa|nheis$
toirear-se-á	toi|re|ar|se|á$
superlativar-lhe	su|per|la|ti|var$lhe|
opinem	o|pi$nem|
grelhada	gre|lha$da|
hipotecada	hi|po|te|ca$da|
dinâmicas	di|nâ$mi|cas|
comiserai	co|mi|se|rai$
encastelarás	en|cas|te|la|rás$
ombreei	om|breei$
descrermos	des|crer$mos|
murmurando	mur|mu|ran$do|
manais	ma|nais$
y	y|
charlataneareis	char|la|ta|ne|a|reis$
desprestigiarias	des|pres|ti|gi|a|ri$as|
reabasteci	re|a|bas|te|ci$
trinques	trin$ques|
lesar-me-ás	le|sar|me|ás$
desintrincares	de|sin|trin|ca$res|
amargurar-lha	a|mar|gu|rar|lha$
afolhar-te	a|fo|lhar$te|
babujeis	ba|bu|jeis$
acostumarás	a|cos|tu|ma|rás$
lastimardes	las|ti|mar$des|
independentistas	in|de|pen|den|tis$tas|
enferrujamento	en|fer|ru|ja|men$to|
estarrecer	es|tar|re|cer$
iodaram	i|o|da$ram|
desentrincheirar-lhes-ias	de|sen|trin|chei|rar|lhes|i$as|
depure	de|pu$re|
denudar-lho	de|nu|dar|lho$
acéfalo	a|cé$fa|lo|
derivei	de|ri|vei$
urológicas	u|ro|ló$gi|cas|
indicastes	in|di|cas$tes|
credenciar-vos-iam	cre|den|ci|ar|vos|i|am$
empapelarias	em|pa|pe|la|ri$as|
descair-nos-emos	des|cair|nos|e$mos|
fandanguearias	fan|dan|gue|a|ri$as|
frustravas	frus|tra$vas|
Dinis	di|nis$
espalhafate	es|pa|lha|fa$te|
assentir	as|sen|tir$
sugeris	su|ge|ris$
rotulagens	ro|tu|la$gens|
hexágono	he|xá$go|no|
compadeceríeis	com|pa|de|ce|rí$eis|
almoça	al|mo$ça|
afracas	a|fra$cas|
estendessem	es|ten|des$sem|
subalugarias	su|ba|lu|ga|ri$as|
filtrareis	fil|tra|reis$
tlintar-te-ás	tlin|tar|te|ás$
aprouveras	a|prou|ve$ras|
empregares	em|pre|ga$res|
horripilas	hor|ri|pi$las|
chilrados	chil|ra$dos|
malbarateavas	mal|ba|ra|te|a$vas|
colmaçadas	col|ma|ça$das|
beltranos	bel|tra$nos|
dessintonizardes	des|sin|to|ni|zar$des|
apingentou	a|pin|gen|tou$
regulamentar-te-emos	re|gu|la|men|tar|te|e$mos|
magnetizantes	mag|ne|ti|zan$tes|
defluíamos	de|flu|í$a|mos|
voltaras	vol|ta$ras|
nidificam	ni|di|fi|cam$
acoronharão	a|co|ro|nha|rão$
anunciareis	a|nun|ci|a|reis$
maturarão	ma|tu|ra|rão$
alcofar-lhes	al|co|far$lhes|
vocais	vo|cais$
compactuarem	com|pac|tu|a$rem|
catalisador	ca|ta|li|sa$dor|
afinásseis	a|fi|nás$seis|
calejaste	ca|le|jas$te|
hebraicos	he|brai$cos|
acartamentos	a|car|ta|men$tos|
alucinogénias	a|lu|ci|no|gé$nias|
sobreolháreis	so|bre|o|lhá$reis|
perca-nos	per$ca|nos|
descendíeis	des|cen|dí$eis|
empadão	em|pa|dão$
artificiarmos	ar|ti|fi|ci|ar$mos|
cinzassem	cin|zas$sem|
niveladores	ni|ve|la|do$res|
encurtamentos	en|cur|ta|men$tos|
cumuladas	cu|mu|la$das|
religáreis	re|li|gá$reis|
azedas	a|ze$das|
assotaríeis	as|so|ta|rí$eis|
lobo	lo$bo|
canhonávamos	ca|nho|ná$va|mos|
farpando	far|pan$do|
arfar	ar|far$
disciplinas	dis|ci|pli$nas|
romanizariam	ro|ma|ni|za|ri|am$
lho	lho$
esvairiam	es|vai|ri|am$
pasmaceando	pas|ma|ce|an$do|
habilitarás	ha|bi|li|ta|rás$
métrica	mé$tri|ca|
atarraxar	a|tar|ra|xar$
desiludíssemos	de|si|lu|dís$se|mos|
descaberás	des|ca|be|rás$
esparrinharmos	es|par|ri|nhar$mos|
transitivaria	tran|si|ti|va|ri$a|
apoteosáramos	a|po|te|o|sá$ra|mos|
retrilha	re|tri$lha|
tempesteai	tem|pes|te|ai$
fanássemos	fa|nás$se|mos|
convergiste	con|ver|gis$te|
vetustos	ve|tus$tos|
informarmos	in|for|mar$mos|
fundirás	fun|di|rás$
boatar	bo|a|tar$
influais	in|fluais$
avelhacáreis	a|ve|lha|cá$reis|
cumpliciastes	cum|pli|ci|as$tes|
afortalezar-lhes-ia	a|for|ta|le|zar|lhes|i$a|
corretais	cor|re|tais$
ocidentalizas	o|ci|den|ta|li$zas|
burláreis	bur|lá$reis|
progredir-vos-íeis	pro|gre|dir|vos|í$eis|
luziriam	lu|zi|ri|am$
sanatorizarmos	sa|na|to|ri|zar$mos|
entranhásseis	en|tra|nhás$seis|
monologava	mo|no|lo|ga$va|
bafejares	ba|fe|ja$res|
contemplatividades	con|tem|pla|ti|vi|da$des|
cumprimentada	cum|pri|men|ta$da|
degenerarás	de|ge|ne|ra|rás$
arcáveis	ar|cá$veis|
surtidos	sur|ti$dos|
bichar-me-iam	bi|char|me|i|am$
fraseadoras	fra|se|a|do$ras|
evolvermos	e|vol|ver$mos|
desafinas	de|sa|fi$nas|
superiorizaria	su|pe|ri|o|ri|za|ri$a|
consistindo	con|sis|tin$do|
treplicar-se-ão	tre|pli|car|se|ão$
readoptaste	re|a|dop|tas$te|
travejarão	tra|ve|ja|rão$
carrearíeis	car|re|a|rí$eis|
desabrocháreis	de|sa|bro|chá$reis|
municipalistas	mu|ni|ci|pa|lis$tas|
pespontei	pes|pon|tei$
avinquem	a|vin$quem|
cirandarias	ci|ran|da|ri$as|
caminhavas	ca|mi|nha$vas|
lanchasses	lan|chas$ses|
descuraríamos	des|cu|ra|rí$a|mos|
esperavam	es|pe|ra|vam$
voltaica	vol|tai$ca|
demolharíamos	de|mo|lha|rí$a|mos|
elevara	e|le|va$ra|
culpamos	cul|pa$mos|
revivificámos	re|vi|vi|fi|cá$mos|
luxuriavas	lu|xu|ri|a$vas|
instruiria	ins|tru|i|ri$a|
inquietadora	in|qui|e|ta|do$ra|
desagradou	de|sa|gra|dou$
peçonhentarias	pe|ço|nhen|ta|ri$as|
almejo	al|me$jo|
declamem	de|cla$mem|
endemizemos	en|de|mi|ze$mos|
procedam	pro|ce|dam$
ozonizariam	o|zo|ni|za|ri|am$
trespassai	tres|pas|sai$
distinção	dis|tin|ção$
diabolizá-lo-emos	di|a|bo|li|zá|lo|e$mos|
quadrúpede	qua|drú$pe|de|
fustigarias	fus|ti|ga|ri$as|
contraquilha	con|tra|qui$lha|
apaixonadíssimos	a|pai|xo|na|dís$si|mos|
gesticulá-las	ges|ti|cu|lá$las|
fatiguemos	fa|ti|gue$mos|
parametrizaríeis	pa|ra|me|tri|za|rí$eis|
perfurardes	per|fu|rar$des|
melodizarmos	me|lo|di|zar$mos|
predestinadas	pre|des|ti|na$das|
tentante	ten|tan$te|
protegêsseis	pro|te|gês$seis|
depurava	de|pu|ra$va|
cascardes	cas|car$des|
faltemos	fal|te$mos|
amortecidos	a|mor|te|ci$dos|
lamentador	la|men|ta$dor|
vitimaríeis	vi|ti|ma|rí$eis|
unionistas	u|ni|o|nis$tas|
mastreados	mas|tre|a$dos|
asseveraríeis	as|se|ve|ra|rí$eis|
traquinarão	tra|qui|na|rão$
reequacionamento	re|e|qua|ci|o|na|men$to|
pilaram	pi|la$ram|
estudem	es|tu$dem|
readmitíramos	re|ad|mi|tí$ra|mos|
desaguamentos	de|sa|gua|men$tos|
entreteríamos	en|tre|te|rí$a|mos|
ajoelhastes	a|jo|e|lhas$tes|
arrulharás	ar|ru|lha|rás$
autenticada	au|ten|ti|ca$da|
proféticos	pro|fé$ti|cos|
sacramentar-lhes-ei	sa|cra|men|tar|lhes|ei$
arrasámos	ar|ra|sá$mos|
vocalizarão	vo|ca|li|za|rão$
florescidas	flo|res|ci$das|
desconsolar-lhe-ão	des|con|so|lar|lhe|ão$
patroneies	pa|tro|nei$es|
incisariam	in|ci|sa|ri|am$
segmentarmos	seg|men|tar$mos|
desenconchariam	de|sen|con|cha|ri|am$
gozavas	go|za$vas|
subpusermos	sub|pu|ser$mos|
atafegaremos	a|ta|fe|ga|re$mos|
vagabundeareis	va|ga|bun|de|a|reis$
ninasses	ni|nas$ses|
extrapolá-lo-eis	ex|tra|po|lá|lo|eis$
subequipemos	su|be|qui|pe$mos|
anavalháramos	a|na|va|lhá$ra|mos|
apoteosar-se-ão	a|po|te|o|sar|se|ão$
desagastamento	de|sa|gas|ta|men$to|
veiculara	vei|cu|la$ra|
agilizar-nos-íamos	a|gi|li|zar|nos|í$a|mos|
desarrolhávamos	de|sar|ro|lhá$va|mos|
tarjei	tar|jei$
intercalar-nos-á	in|ter|ca|lar|nos|á$
assoalhar-vos-ei	as|so|a|lhar|vos|ei$
tractoristas	trac|to|ris$tas|
lubrificasses	lu|bri|fi|cas$ses|
desanuviarão	de|sa|nu|vi|a|rão$
canforaríamos	can|fo|ra|rí$a|mos|
povoamentos	po|vo|a|men$tos|
quintuplicarias	quin|tu|pli|ca|ri$as|
possuentes	pos|su|en$tes|
espartilho	es|par|ti$lho|
atentados	a|ten|ta$dos|
escoreis	es|co|reis$
cleptomaníacas	clep|to|ma|ní$a|cas|
ceguei	ce|guei$
transpareciam	trans|pa|re|ci|am$
semibreve	se|mi|bre$ve|
acetal	a|ce|tal$
trovoaste	tro|vo|as$te|
obstiparem	obs|ti|pa$rem|
eclipsarem	e|clip|sa$rem|
malhar-me-ia	ma|lhar|me|i$a|
revitalizássemos	re|vi|ta|li|zás$se|mos|
croniquizariam	cro|ni|qui|za|ri|am$
fritai	fri|tai$
calceta	cal|ce$ta|
aventurarão	a|ven|tu|ra|rão$
Caledónia	ca|le|dó$nia|
solvereis	sol|ve|reis$
paginou	pa|gi|nou$
sentisses	sen|tis$ses|
comportavas	com|por|ta$vas|
assegurar-lhes-emos	as|se|gu|rar|lhes|e$mos|
gramar-vos-eis	gra|mar|vos|eis$
reverberaremos	re|ver|be|ra|re$mos|
resultaríeis	re|sul|ta|rí$eis|
vanguardearas	van|guar|de|a$ras|
malfadaria	mal|fa|da|ri$a|
minai	mi|nai$
bacilizares	ba|ci|li|za$res|
pregoarão	pre|go|a|rão$
desbotoes	des|bo|to$es|
supríamos	su|prí$a|mos|
continuadora	con|ti|nu|a|do$ra|
amoralizaríamos	a|mo|ra|li|za|rí$a|mos|
desengalfinhámos	de|sen|gal|fi|nhá$mos|
caracolou	ca|ra|co|lou$
agulharmos	a|gu|lhar$mos|
estereotiparia	es|te|re|o|ti|pa|ri$a|
pomificaremos	po|mi|fi|ca|re$mos|
inventarmos	in|ven|tar$mos|
nasalizaram	na|sa|li|za$ram|
descongestionassem	des|con|ges|ti|o|nas$sem|
encharcava	en|char|ca$va|
romancearíeis	ro|man|ce|a|rí$eis|
logarítmica	lo|ga|rít$mi|ca|
malparimos	mal|pa|ri$mos|
morrem	mor$rem|
poisar-nos-ás	poi|sar|nos|ás$
tremulareis	tre|mu|la|reis$
fosfores	fos|fo$res|
coadjuvavas	co|ad|ju|va$vas|
saneiem	sa|nei$em|
refugíramos	re|fu|gí$ra|mos|
rivalizemos	ri|va|li|ze$mos|
reforçar-lhas	re|for|çar|lhas$
mutilá-los	mu|ti|lá|los$
mordacidades	mor|da|ci|da$des|
desempancássemos	de|sem|pan|cás$se|mos|
balísticas	ba|lís$ti|cas|
desconectando	des|co|nec|tan$do|
realinhasses	re|a|li|nhas$ses|
arborizariam	ar|bo|ri|za|ri|am$
especialíssima	es|pe|ci|a|lís$si|ma|
assetada	as|se|ta$da|
biconvexo	bi|con|ve$xo|
espasmem	es|pas$mem|
entontecedor	en|ton|te|ce|dor$
vulcanizaram	vul|ca|ni|za$ram|
reintroduzamos	rein|tro|du|za$mos|
fanfarronar-vos-ei	fan|far|ro|nar|vos|ei$
desnacionalizávamos	des|na|ci|o|na|li|zá$va|mos|
empedrar	em|pe|drar$
registos	re|gis$tos|
petrificantes	pe|tri|fi|can$tes|
alfaiatarei	al|fai|a|ta|rei$
encomendando	en|co|men|dan$do|
desacreditando	de|sa|cre|di|tan$do|
vó	vó$
destituam	des|ti|tu|am$
abrandares	a|bran|da$res|
ressonar-vos-ias	res|so|nar|vos|i$as|
contramarcaríamos	con|tra|mar|ca|rí$a|mos|
engolira	en|go|li$ra|
dessincronizaríamos	des|sin|cro|ni|za|rí$a|mos|
afidalgava	a|fi|dal|ga$va|
pungiremos	pun|gi|re$mos|
tonalizava	to|na|li|za$va|
redecoreis	re|de|co|reis$
togastes	to|gas$tes|
arrendação	ar|ren|da|ção$
desatei	de|sa|tei$
manjariam	man|ja|ri|am$
ensardinhais	en|sar|di|nhais$
desaprumará	de|sa|pru|ma|rá$
imunizemos	i|mu|ni|ze$mos|
desmagnetizará	des|mag|ne|ti|za|rá$
lembrava	lem|bra$va|
tingindo	tin|gin$do|
singularizar-me-ias	sin|gu|la|ri|zar|me|i$as|
despistareis	des|pis|ta|reis$
assoleimar	as|so|lei|mar$
pavoneiem	pa|vo|nei$em|
anuviados	a|nu|vi|a$dos|
arreliarás	ar|re|li|a|rás$
desencarregastes	de|sen|car|re|gas$tes|
desperceberei	des|per|ce|be|rei$
revingares	re|vin|ga$res|
inspirada	ins|pi|ra$da|
centralizaras	cen|tra|li|za$ras|
desordenares	de|sor|de|na$res|
desiludires	de|si|lu|di$res|
calibradas	ca|li|bra$das|
despojar-lhe-eis	des|po|jar|lhe|eis$
caracoles	ca|ra|co$les|
moraram	mo|ra$ram|
sobreexcitar-lhe-ei	so|bre|ex|ci|tar|lhe|ei$
enxotarmos	en|xo|tar$mos|
apetita	a|pe|ti$ta|
retractes	re|trac$tes|
entravar	en|tra|var$
rechonchudas	re|chon|chu$das|
amontanhavas	a|mon|ta|nha$vas|
engravidarmos	en|gra|vi|dar$mos|
trema	tre$ma|
citeis	ci|teis$
casposo	cas|po$so|
saliculturas	sa|li|cul|tu$ras|
modorraríamos	mo|dor|ra|rí$a|mos|
enrouparás	en|rou|pa|rás$
faiscadoras	fais|ca|do$ras|
encantassem	en|can|tas$sem|
mortificareis	mor|ti|fi|ca|reis$
comande	co|man$de|
imprensaras	im|pren|sa$ras|
administrávamos	ad|mi|nis|trá$va|mos|
beduínos	be|du|í$nos|
cafeeiras	ca|feei$ras|
aquentaram	a|quen|ta$ram|
admitir-te	ad|mi|tir$te|
tangarmos	tan|gar$mos|
referirei	re|fe|ri|rei$
grafe	gra$fe|
quarentenara	qua|ren|te|na$ra|
embandeiramentos	em|ban|dei|ra|men$tos|
norteando	nor|te|an$do|
florescente	flo|res|cen$te|
judaizariam	ju|dai|za|ri|am$
cometas	co|me$tas|
assemelhastes	as|se|me|lhas$tes|
rafamos	ra|fa$mos|
fruirias	fru|i|ri$as|
inaplicabilidade	i|na|pli|ca|bi|li|da$de|
augures	au|gu$res|
inglesáveis	in|gle|sá$veis|
arrematasse	ar|re|ma|tas$se|
parenteados	pa|ren|te|a$dos|
descoroam	des|co|ro|am$
modicásseis	mo|di|cás$seis|
abeiçaria	a|bei|ça|ri$a|
chumbáveis	chum|bá$veis|
aditar-me-ia	a|di|tar|me|i$a|
transtornámos	trans|tor|ná$mos|
acoitavam	a|coi|ta|vam$
estrebucha	es|tre|bu$cha|
anestesiariam	a|nes|te|si|a|ri|am$
concatenavam	con|ca|te|na|vam$
iterado	i|te|ra$do|
amanhecem	a|ma|nhe$cem|
transferi	trans|fe|ri$
alentarmos	a|len|tar$mos|
afinarei	a|fi|na|rei$
pertençais	per|ten|çais$
receita	re|cei$ta|
acertares	a|cer|ta$res|
branquejar-se-ia	bran|que|jar|se|i$a|
beneficiar-nos-eis	be|ne|fi|ci|ar|nos|eis$
cirandai	ci|ran|dai$
estragar-lhes-ás	es|tra|gar|lhes|ás$
desarvoreis	de|sar|vo|reis$
impropriasses	im|pro|pri|as$ses|
rearmassem	re|ar|mas$sem|
reverenciareis	re|ve|ren|ci|a|reis$
toalhas	to|a$lhas|
debruçá-los	de|bru|çá|los$
prognosticador	prog|nos|ti|ca$dor|
recalcador	re|cal|ca$dor|
arpoarei	ar|po|a|rei$
começava	co|me|ça$va|
encancerado	en|can|ce|ra$do|
alpendrásseis	al|pen|drás$seis|
pipocando	pi|po|can$do|
expatriarem	ex|pa|tri|a$rem|
avincarás	a|vin|ca|rás$
enxertaríamos	en|xer|ta|rí$a|mos|
degradações	de|gra|da|ções$
desfragmentai	des|frag|men|tai$
adegaram	a|de|ga$ram|
fanatizámos	fa|na|ti|zá$mos|
injuriarem	in|ju|ri|a$rem|
avarias	a|va|ri$as|
reponderas	re|pon|de$ras|
devoluto	de|vo|lu$to|
prazentearei	pra|zen|te|a|rei$
trovoardes	tro|vo|ar$des|
evidenciais	e|vi|den|ci|ais$
palpabilizará	pal|pa|bi|li|za|rá$
arrancarão	ar|ran|ca|rão$
percorrido	per|cor|ri$do|
abduzires	ab|du|zi$res|
remordereis	re|mor|de|reis$
padreará	pa|dre|a|rá$
reaver-lho	re|a|ver|lho$
escandalizarei	es|can|da|li|za|rei$
condescendências	con|des|cen|dên$cias|
desenterrara	de|sen|ter|ra$ra|
consubstanciaste	con|subs|tan|ci|as$te|
peticionar-te	pe|ti|ci|o|nar$te|
tambores	tam|bo$res|
germânio	ger|mâ$nio|
fecundizássemos	fe|cun|di|zás$se|mos|
aquietarei	a|qui|e|ta|rei$
encarapinhar	en|ca|ra|pi|nhar$
filtrarão	fil|tra|rão$
enfardo	en|far$do|
avelhacava	a|ve|lha|ca$va|
filigranemos	fi|li|gra|ne$mos|
reexporem	re|ex|po$rem|
missarás	mis|sa|rás$
cindirei	cin|di|rei$
repugnadoras	re|pug|na|do$ras|
instauremos	ins|tau|re$mos|
restabelecer-me-ia	res|ta|be|le|cer|me|i$a|
transgride	trans|gri$de|
